Prime,Collisions,Time [mc s]
8821,4684,295832
8831,4465,295946
8837,4551,295709
8839,4624,296046
8849,4562,296003
8861,4640,295737
8863,4361,296165
8867,4476,295982
8887,4550,295812
8893,4387,296092
8923,4503,295721
8929,4550,295788
8933,4479,296282
8941,4506,296127
8951,4321,296429
8963,4365,296007
8969,4444,296232
8971,4506,295959
8999,4443,296080
9001,4445,296100
9007,4382,295915
9011,4421,295969
9013,4591,296025
9029,4356,296068
9041,4319,295797
9043,4434,295809
9049,4360,296233
9059,4527,295616
9067,4396,296053
9091,4358,295795
9103,4456,416822
9109,4465,295961
9127,4364,296261
9133,4391,295940
9137,4416,295747
9151,4330,295625
9157,4373,295938
9161,4376,295904
9173,4307,296048
9181,4394,296099
9187,4272,295846
9199,4374,295978
9203,4344,295857
9209,4487,295867
9221,4363,295780
9227,4245,295726
9239,4404,297443
9241,4309,298466
9257,4223,295847
9277,4239,295945
9281,4329,295906
9283,4139,296031
9293,4309,295919
9311,4280,295762
9319,4326,295873
9323,4237,296064
9337,4290,297724
9341,4244,368239
9343,4283,302293
9349,4132,302051
9371,4307,295965
9377,4279,296069
9391,4259,296259
9397,4308,295717
9403,4218,296352
9413,4100,295739
9419,4342,296277
9421,4148,295608
9431,4288,296139
9433,4349,295892
9437,4246,295963
9439,4115,295922
9461,4285,295656
9463,4216,295789
9467,4245,295852
9473,4157,295776
9479,4132,296386
9491,4262,295732
9497,4033,295726
9511,4173,295927
9521,4097,296008
9533,4230,296408
9539,4308,295723
9547,4189,295898
9551,4132,295758
9587,4151,296037
9601,4160,296127
9613,4051,295930
9619,4244,296007
9623,4173,295781
9629,4203,295877
9631,4172,295839
9643,4146,295920
9649,4162,296654
9661,4145,296033
9677,4116,296378
9679,3963,297650
9689,4185,298924
9697,4104,296602
9719,4144,332391
9721,4117,296023
9733,4155,295678
9739,4113,296134
9743,4173,296064
9749,4105,295897
9767,4029,295990
9769,4110,301996
9781,4092,296154
9787,4107,296549
9791,4208,296028
9803,4063,296264
9811,4058,295827
9817,3958,296675
9829,4017,296208
9833,4097,296433
9839,4093,296094
9851,4076,295740
9857,4108,296132
9859,3978,295758
9871,4094,296308
9883,4081,296072
9887,4038,296122
9901,3992,295769
9907,3993,296188
9923,3980,296247
9929,3992,296535
9931,3934,295843
9941,4054,296652
9949,4084,295870
9967,4035,295865
9973,4084,297272
10007,4123,299792
10009,3968,296137
10037,4029,295795
10039,3939,296552
10061,3917,295910
10067,3920,295982
10069,3904,298900
10079,4051,295916
10091,3898,296133
10093,4016,296422
10099,3928,295879
10103,3876,296217
10111,4037,295921
10133,3908,296740
10139,3805,301068
10141,3965,297613
10151,3950,298463
10159,3961,296198
10163,3946,296011
10169,3940,295930
10177,3927,296224
10181,3914,295921
10193,3967,295878
10211,3962,295931
10223,3953,296099
